Id,Date,Time,Country,League,HomeTeam,AwayTeam,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No
vemp0jVr,01/05/2025,07:30,ITALY,ITALY 2,Juve Stabia,Catanzaro,2.05,3.5,3.4,1.85,2.0,1.7,2.05
rBnF5C7L,01/05/2025,10:00,ITALY,ITALY 2,Cosenza,Bari,3.3,3.2,2.25,2.1,1.7,1.91,1.91
zNtgbUae,01/05/2025,10:00,ITALY,ITALY 2,Mantova,Cesena,2.45,3.3,2.8,1.93,1.93,1.7,2.05
8zu1d8U7,01/05/2025,10:00,ITALY,ITALY 2,Modena,Reggiana,1.95,3.1,4.33,2.35,1.57,2.05,1.7
OrNmKBME,01/05/2025,10:00,ITALY,ITALY 2,Palermo,Sudtirol,2.05,3.1,4.0,2.08,1.73,1.8,1.95
SElL136m,01/05/2025,10:00,ITALY,ITALY 2,Pisa,Frosinone,1.95,3.1,4.75,2.08,1.73,1.91,1.91
lUxUasy0,01/05/2025,10:00,ITALY,ITALY 2,Sampdoria,Cremonese,3.1,3.2,2.3,1.98,1.88,1.8,1.95
hMZpdazP,01/05/2025,10:00,ITALY,ITALY 2,Spezia,Salernitana,1.85,3.2,4.75,1.93,1.93,1.75,2.0
Meb67Yx9,01/05/2025,12:15,ITALY,ITALY 2,Cittadella,Brescia,2.8,3.1,2.6,2.15,1.67,1.8,1.95
dftxbL5C,01/05/2025,14:30,ITALY,ITALY 2,Sassuolo,Carrarese,1.57,4.1,5.5,1.73,2.08,1.8,1.95
