Id,Date,Time,Country,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Time_Str
U9cXnVYq,20/06/2025,14:00,EUROPE,EUROPE: EURO U19,Netherlands U19,England U19,4.0,4.0,1.67,1.57,2.35,1.57,2.25,20/06/2025 14:00
CKwYjvzI,20/06/2025,14:00,EUROPE,EUROPE: EURO U19,Norway U19,Germany U19,4.2,4.0,1.67,1.44,2.7,1.5,2.5,20/06/2025 14:00
vXSx8nTi,20/06/2025,20:45,NORTH & CENTRAL AMERICA,NORTH & CENTRAL AMERICA: GOLD CUP,Jamaica,Guadeloupe,1.5,4.4,6.4,1.75,2.07,1.88,1.85,20/06/2025 20:45
nwtipqyo,20/06/2025,23:00,NORTH & CENTRAL AMERICA,NORTH & CENTRAL AMERICA: GOLD CUP,Guatemala,Panama,4.8,3.55,1.8,2.12,1.72,1.95,1.8,20/06/2025 23:00
Ygx9RDrR,20/06/2025,13:00,WORLD,WORLD: FIFA CLUB WORLD CUP,Benfica,Auckland City,,,,1.02,21.0,3.75,1.25,20/06/2025 13:00
OnqEziLs,20/06/2025,15:00,WORLD,WORLD: FIFA CLUB WORLD CUP,Flamengo RJ,Chelsea,3.7,3.5,1.95,2.05,1.75,1.91,1.91,20/06/2025 15:00
hzDZqNAO,20/06/2025,19:00,WORLD,WORLD: FIFA CLUB WORLD CUP,Los Angeles FC,Esperance Tunis,1.85,3.4,4.5,2.15,1.67,1.95,1.8,20/06/2025 19:00
veq0TZDE,20/06/2025,22:00,WORLD,WORLD: FIFA CLUB WORLD CUP,Bayern Munich,Boca Juniors,1.25,5.75,11.0,1.5,2.5,1.95,1.8,20/06/2025 22:00
roH2Po1G,20/06/2025,13:00,ALGERIA,ALGERIA: LIGUE 1,ES Setif,Biskra,1.25,5.2,10.75,1.7,1.93,2.32,1.47,20/06/2025 13:00
405BNPVS,20/06/2025,13:00,ALGERIA,ALGERIA: LIGUE 1,Khenchela,El Bayadh,1.55,3.6,5.9,2.2,1.53,2.27,1.5,20/06/2025 13:00
nuaUwoG9,20/06/2025,14:00,ALGERIA,ALGERIA: LIGUE 1,Constantine,Saoura,1.78,3.2,4.7,2.18,1.53,2.02,1.62,20/06/2025 14:00
z5XHUtwd,20/06/2025,14:00,ALGERIA,ALGERIA: LIGUE 1,Oran,USM Alger,1.93,3.2,3.9,2.37,1.45,2.12,1.57,20/06/2025 14:00
WUoXhjiC,20/06/2025,16:00,ARGENTINA,ARGENTINA: PRIMERA NACIONAL,Racing Cordoba,Deportivo Madryn,2.75,2.6,3.25,3.4,1.33,2.5,1.5,20/06/2025 16:00
nDUlytBG,20/06/2025,15:30,ARGENTINA,ARGENTINA: TORNEO FEDERAL,Cipolletti,Kimberley,,,,,,,,20/06/2025 15:30
IHWQOOYa,20/06/2025,15:30,ARGENTINA,ARGENTINA: TORNEO FEDERAL,Sarmiento Resistencia,Juventud Antoniana,,,,,,,,20/06/2025 15:30
f7eYm6zn,20/06/2025,05:30,AUSTRALIA,AUSTRALIA: NPL NORTHERN NSW,Broadmeadow,Belmont Swansea Utd.,1.18,6.5,8.5,1.3,3.4,1.72,1.9,20/06/2025 05:30
Us9In48U,20/06/2025,06:30,AUSTRALIA,AUSTRALIA: NPL NSW,Sydney FC U23,APIA Leichhardt,4.3,4.75,1.55,1.25,3.25,1.34,2.75,20/06/2025 06:30
hrwVRlmK,20/06/2025,06:45,AUSTRALIA,AUSTRALIA: NPL VICTORIA,Dandenong City,Altona Magic,1.98,3.85,3.15,1.6,2.22,1.55,2.3,20/06/2025 06:45
S4oq4oeD,20/06/2025,06:45,AUSTRALIA,AUSTRALIA: NPL VICTORIA,Melbourne Knights,Green Gully,3.65,4.05,1.8,1.53,2.35,1.55,2.3,20/06/2025 06:45
ptI9K6uf,20/06/2025,07:30,AUSTRALIA,AUSTRALIA: NPL VICTORIA,Hume City,Heidelberg Utd,3.65,3.9,1.82,1.62,2.15,1.62,2.15,20/06/2025 07:30
xGE1MSAs,20/06/2025,07:30,AUSTRALIA,AUSTRALIA: NPL VICTORIA,St Albans,Oakleigh Cannons,3.6,3.95,1.83,1.57,2.25,1.57,2.27,20/06/2025 07:30
QDfTpoO6,20/06/2025,08:00,AUSTRALIA,AUSTRALIA: NPL WESTERN AUSTRALIA,Bayswater,Floreat Athena,1.27,5.5,8.25,1.26,3.15,1.52,2.22,20/06/2025 08:00
WURSJSqp,20/06/2025,23:15,AUSTRALIA,AUSTRALIA: CAPITAL PREMIER LEAGUE,Wagga City Wanderers,Canberra Juventus,2.47,4.2,2.15,,,,,20/06/2025 23:15
pIRkeYJl,20/06/2025,07:00,AUSTRALIA,AUSTRALIA: NORTHERN NSW STATE LEAGUE,Lake Macquarie,Dudley Redhead United,,,,,,,,20/06/2025 07:00
h0CiHsqI,20/06/2025,07:15,AUSTRALIA,AUSTRALIA: NSW LEAGUE ONE,Blacktown Spartans,Canterbury Bankstown,1.9,3.8,3.1,,,,,20/06/2025 07:15
88nhbzTa,20/06/2025,07:15,AUSTRALIA,AUSTRALIA: TASMANIA SOUTHERN CHAMPIONSHIP,Olympia Warriors,University of Tasmania,1.7,4.45,3.4,,,,,20/06/2025 07:15
6NbPJqzn,20/06/2025,07:00,AUSTRALIA,AUSTRALIA: VICTORIA PREMIER LEAGUE,Brunswick City,Bulleen,2.22,4.1,2.52,1.27,3.1,1.28,3.05,20/06/2025 07:00
2khYHN4b,20/06/2025,07:30,AUSTRALIA,AUSTRALIA: VICTORIA PREMIER LEAGUE,Northcote City,Western Utd. U21,2.52,4.1,2.22,1.32,2.85,1.33,2.8,20/06/2025 07:30
bedCEgVr,20/06/2025,12:00,BELARUS,BELARUS: VYSSHAYA LIGA,Smorgon,Isloch,,,,,,,,20/06/2025 12:00
8ptFYEME,20/06/2025,14:00,BELARUS,BELARUS: VYSSHAYA LIGA,Slavia Mozyr,BATE,,,,,,,,20/06/2025 14:00
zPTV95Oj,20/06/2025,19:00,BOLIVIA,BOLIVIA: DIVISION PROFESIONAL,GV San Jose,Guabira,1.25,5.25,9.5,1.44,2.7,1.8,1.91,20/06/2025 19:00
2VLHX8Gc,20/06/2025,21:30,BOLIVIA,BOLIVIA: DIVISION PROFESIONAL,Tomayapo,Real Oruro,1.83,3.25,4.2,2.1,1.7,1.91,1.8,20/06/2025 21:30
U9uU7med,20/06/2025,19:00,BRAZIL,BRAZIL 2,Botafogo SP,Chapecoense-SC,2.5,2.8,3.2,3.1,1.36,2.5,1.5,20/06/2025 19:00
2aekFV2M,20/06/2025,21:35,BRAZIL,BRAZIL 2,America MG,Criciuma,1.85,3.2,4.75,2.25,1.62,2.0,1.73,20/06/2025 21:35
t49wSCAc,20/06/2025,19:30,BRAZIL,BRAZIL: COPA PAULISTA,Taubate,Santo Andre,2.18,3.15,3.2,2.12,1.57,1.88,1.72,20/06/2025 19:30
EcHi49Ij,20/06/2025,20:00,BRAZIL,BRAZIL: COPA PAULISTA,Paulista,Sao Bento,2.82,3.3,2.32,1.9,1.72,1.72,1.9,20/06/2025 20:00
CE0LBiQG,20/06/2025,20:00,BRAZIL,BRAZIL: COPA PAULISTA,Piracicaba,Rio Branco SP,1.5,4.1,5.7,1.75,1.87,1.88,1.72,20/06/2025 20:00
K8kVxFJM,20/06/2025,18:30,CHILE,CHILE: LIGA DE PRIMERA,Union La Calera,U. Catolica,2.8,3.1,2.6,2.35,1.57,2.0,1.73,20/06/2025 18:30
4fvso8IG,20/06/2025,13:30,CHILE,CHILE: SEGUNDA DIVISION,Concon National,Real San Joaquin,1.75,3.65,4.05,1.75,1.87,1.7,1.91,20/06/2025 13:30
GnwLwQAj,20/06/2025,16:00,CHILE,CHILE: SEGUNDA DIVISION,Dep. Linares,Deportes Rengo,,,,,,,,20/06/2025 16:00
r5D1Tvsf,20/06/2025,08:35,CHINA,CHINA: FA CUP - 1/8-FINALS,Shandong Taishan,Chengdu Rongcheng,2.22,3.85,2.65,1.47,2.32,1.45,2.37,20/06/2025 08:35
xGtllzGr,20/06/2025,21:00,ECUADOR,ECUADOR: LIGA PRO,Libertad,Tecnico U.,2.15,3.3,3.2,2.1,1.7,1.83,1.83,20/06/2025 21:00
j3IDqbVG,20/06/2025,13:00,GAMBIA,GAMBIA: GFA LEAGUE,Armed Forces,Steve Biko,2.57,2.62,2.95,,,,,20/06/2025 13:00
QLWedyFM,20/06/2025,13:00,GAMBIA,GAMBIA: GFA LEAGUE,Hawks,Brikama U.,,,,,,,,20/06/2025 13:00
UwXASmNi,20/06/2025,09:30,GEORGIA,GEORGIA: GEORGIAN CUP - 1/32-FINALS,35-e Skola,Skuri Tsalenjikha,,,,,,,,20/06/2025 09:30
hIHzNqiT,20/06/2025,09:30,GEORGIA,GEORGIA: GEORGIAN CUP - 1/32-FINALS,Bakhmaro,Shturmi,,,,,,,,20/06/2025 09:30
bJORO5MG,20/06/2025,09:30,GEORGIA,GEORGIA: GEORGIAN CUP - 1/32-FINALS,Didube,WIT Georgia,,,,,,,,20/06/2025 09:30
jgLJQRi4,20/06/2025,09:30,GEORGIA,GEORGIA: GEORGIAN CUP - 1/32-FINALS,Gagra 2,WIT Georgia 2,,,,,,,,20/06/2025 09:30
CMl1w5yA,20/06/2025,09:30,GEORGIA,GEORGIA: GEORGIAN CUP - 1/32-FINALS,Margveti 2006,Varketili,,,,,,,,20/06/2025 09:30
YywAyq6M,20/06/2025,09:30,GEORGIA,GEORGIA: GEORGIAN CUP - 1/32-FINALS,Rustavi 2,Odishi 1919,,,,,,,,20/06/2025 09:30
