Id,Date,Time,Country,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Time_Str
0hltp9qB,06/05/2025,16:00,EUROPE,EUROPE: CHAMPIONS LEAGUE - PLAY OFFS - SEMI-FINALS,Inter,Barcelona,2.8,3.9,2.3,1.44,2.75,1.4,2.75,06/05/2025 16:00
QeBxe5AU,06/05/2025,19:00,SOUTH AMERICA,SOUTH AMERICA: COPA LIBERTADORES,Alianza Lima (Per),Sao Paulo (Bra),3.5,3.0,2.3,2.5,1.5,2.05,1.7,06/05/2025 19:00
z7veDnQb,06/05/2025,19:00,SOUTH AMERICA,SOUTH AMERICA: COPA LIBERTADORES,Bucaramanga (Col),Racing Club (Arg),3.4,3.3,2.2,2.35,1.57,2.0,1.75,06/05/2025 19:00
tS7oczz1,06/05/2025,19:00,SOUTH AMERICA,SOUTH AMERICA: COPA LIBERTADORES,Carabobo (Ven),Botafogo RJ (Bra),5.75,4.2,1.55,2.35,1.57,2.5,1.5,06/05/2025 19:00
2st3G3JO,06/05/2025,21:30,SOUTH AMERICA,SOUTH AMERICA: COPA LIBERTADORES,Fortaleza (Bra),Colo Colo (Chi),1.91,3.2,4.5,2.25,1.62,2.0,1.75,06/05/2025 21:30
tY0xV2YH,06/05/2025,23:00,SOUTH AMERICA,SOUTH AMERICA: COPA LIBERTADORES,SA Bulo Bulo (Bol),Penarol (Uru),4.2,3.25,1.95,1.98,1.88,1.75,2.0,06/05/2025 23:00
xfJ4zkMc,06/05/2025,18:30,SOUTH AMERICA,SOUTH AMERICA: SOUTH AMERICAN CHAMPIONSHIP WOMEN U17,Paraguay U17 W,Venezuela U17 W,,,,,,,,06/05/2025 18:30
dbtICoUj,06/05/2025,21:00,SOUTH AMERICA,SOUTH AMERICA: SOUTH AMERICAN CHAMPIONSHIP WOMEN U17,Chile U17 W,Colombia U17 W,,,,,,,,06/05/2025 21:00
4A07fmBc,06/05/2025,12:00,AFRICA,AFRICA: AFRICA CUP OF NATIONS U20,Zambia U20,Tanzania U20,,,,,,,,06/05/2025 12:00
OCG8hRuA,06/05/2025,15:00,AFRICA,AFRICA: AFRICA CUP OF NATIONS U20,Sierra Leone U20,South Africa U20,,,,,,,,06/05/2025 15:00
SQKhzyOE,06/05/2025,21:00,ARUBA,ARUBA: DIVISION DI HONOR - RELEGATION,Unistars,RCS,,,,,,,,06/05/2025 21:00
Qa5uWFI6,06/05/2025,07:00,AUSTRALIA,AUSTRALIA: NSW LEAGUE ONE,SD Raiders,UNSW,2.07,3.65,2.85,1.52,2.22,,,06/05/2025 07:00
AaF7FPXp,06/05/2025,06:30,AUSTRALIA,AUSTRALIA: QUEENSLAND PREMIER LEAGUE,Redlands,Caboolture,1.95,3.9,3.1,1.34,2.75,1.34,2.75,06/05/2025 06:30
CxDYOUR6,06/05/2025,07:30,AUSTRALIA,AUSTRALIA: WA STATE LEAGUE,Curtin Univ,Subiaco,3.55,4.1,1.72,,,,,06/05/2025 07:30
MZd9j5Y8,06/05/2025,13:00,AUSTRIA,AUSTRIA: 2. LIGA,Stripfing,Liefering,2.12,3.55,3.1,1.7,2.05,1.6,2.2,06/05/2025 13:00
hp0r3Uy3,06/05/2025,13:00,BAHRAIN,BAHRAIN: PREMIER LEAGUE,Al Khalidiyah,Malkia,1.39,4.25,8.0,1.75,1.98,1.98,1.75,06/05/2025 13:00
lCgi186F,06/05/2025,13:00,BAHRAIN,BAHRAIN: PREMIER LEAGUE,Al-Najma,Bahrain SC,2.12,3.35,3.2,1.88,1.82,1.72,2.0,06/05/2025 13:00
MPiaanyS,06/05/2025,13:00,BAHRAIN,BAHRAIN: PREMIER LEAGUE,Sitra,Al-Shabbab,2.2,3.2,3.2,2.1,1.65,1.85,1.85,06/05/2025 13:00
