Id,Date,Time,Country,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Time_Str
Is88zTJb,08/05/2025,16:00,EUROPE,EUROPE: EUROPA LEAGUE - PLAY OFFS - SEMI-FINALS,Bodo/Glimt,Tottenham,2.63,3.75,2.45,1.57,2.38,1.5,2.5,08/05/2025 16:00
b3blVXsJ,08/05/2025,16:00,EUROPE,EUROPE: EUROPA LEAGUE - PLAY OFFS - SEMI-FINALS,Manchester Utd,Ath Bilbao,1.9,3.8,3.8,1.88,1.98,1.8,1.95,08/05/2025 16:00
UN6XYFrf,08/05/2025,16:00,EUROPE,EUROPE: CONFERENCE LEAGUE - PLAY OFFS - SEMI-FINALS,Chelsea,Djurgarden,1.14,8.0,15.0,1.36,3.1,2.0,1.73,08/05/2025 16:00
biYm6dY9,08/05/2025,16:00,EUROPE,EUROPE: CONFERENCE LEAGUE - PLAY OFFS - SEMI-FINALS,Fiorentina,Betis,2.25,3.4,3.1,1.9,1.9,1.73,2.0,08/05/2025 16:00
EijnF8en,08/05/2025,19:00,SOUTH AMERICA,SOUTH AMERICA: COPA LIBERTADORES,Talleres Cordoba (Arg),Libertad Asuncion (Par),1.8,3.4,5.0,2.5,1.5,2.25,1.57,08/05/2025 19:00
vayC94PN,08/05/2025,19:00,SOUTH AMERICA,SOUTH AMERICA: COPA LIBERTADORES,Velez Sarsfield (Arg),Olimpia Asuncion (Par),1.73,3.5,5.25,2.2,1.65,2.05,1.7,08/05/2025 19:00
rXs3BQfB,08/05/2025,21:30,SOUTH AMERICA,SOUTH AMERICA: COPA LIBERTADORES,Atl. Nacional (Col),Internacional (Bra),2.3,3.2,3.25,2.15,1.67,1.91,1.91,08/05/2025 21:30
SMC52VBt,08/05/2025,21:30,SOUTH AMERICA,SOUTH AMERICA: COPA LIBERTADORES,Barcelona SC (Ecu),River Plate (Arg),4.1,3.4,1.95,2.2,1.65,2.0,1.75,08/05/2025 21:30
0lQC09tg,08/05/2025,23:00,SOUTH AMERICA,SOUTH AMERICA: COPA LIBERTADORES,U. de Deportes (Per),Ind. del Valle (Ecu),2.15,3.2,3.6,2.5,1.5,2.1,1.67,08/05/2025 23:00
0z58JfpQ,08/05/2025,12:00,AFRICA,AFRICA: AFRICA CUP OF NATIONS U20,Central Africa U20,Ghana U20,,,,,,,,08/05/2025 12:00
KvSLeihJ,08/05/2025,12:00,AFRICA,AFRICA: AFRICA CUP OF NATIONS U20,Senegal U20,D.R. Congo U20,,,,,,,,08/05/2025 12:00
8xtv8ofK,08/05/2025,10:30,ALGERIA,ALGERIA: U21 LEAGUE,Paradou U21,USM Alger U21,,,,,,,,08/05/2025 10:30
M72ce8AE,08/05/2025,12:00,ALGERIA,ALGERIA: U21 LEAGUE,ASO Chlef U21,CR Belouizdad U21,,,,,,,,08/05/2025 12:00
YoM2ZQme,08/05/2025,12:00,ALGERIA,ALGERIA: U21 LEAGUE,Constantine U21,Biskra U21,,,,,,,,08/05/2025 12:00
S8sxlQ2l,08/05/2025,12:00,ALGERIA,ALGERIA: U21 LEAGUE,Kabylie U21,Saoura U21,,,,,,,,08/05/2025 12:00
dlZhpr2D,08/05/2025,12:00,ALGERIA,ALGERIA: U21 LEAGUE,MC Alger U21,ES Setif U21,,,,,,,,08/05/2025 12:00
tCPAX4I7,08/05/2025,12:00,ALGERIA,ALGERIA: U21 LEAGUE,Mostaganem U21,El Bayadh U21,,,,,,,,08/05/2025 12:00
0Mupn4X0,08/05/2025,12:00,ALGERIA,ALGERIA: U21 LEAGUE,Olympique Akbou U21,Khenchela U21,,,,,,,,08/05/2025 12:00
8O05gnuR,08/05/2025,12:00,ALGERIA,ALGERIA: U21 LEAGUE,Oran U21,Magra U21,,,,,,,,08/05/2025 12:00
trfdGK8k,08/05/2025,09:00,ARMENIA,ARMENIA: PREMIER LEAGUE,Ararat Yerevan,Van,3.7,3.25,1.88,2.0,1.65,,,08/05/2025 09:00
GnNuww6c,08/05/2025,11:00,BELARUS,BELARUS: PERSHAYA LIGA,Belarus U19,Osipovichi,,,,,,,,08/05/2025 11:00
OUyOxUBE,08/05/2025,13:30,BELARUS,BELARUS: PERSHAYA LIGA,Minsk 2,Din. Minsk 2,,,,,,,,08/05/2025 13:30
U7h4uLo1,08/05/2025,14:00,BELARUS,BELARUS: BELARUSIAN CUP - SEMI-FINALS,ML Vitebsk,Zhodino,,,,,,,,08/05/2025 14:00
Gjc7vCCi,08/05/2025,21:35,BRAZIL,BRAZIL 2,Athletico-PR,Chapecoense-SC,1.55,3.7,5.75,2.25,1.62,2.25,1.57,08/05/2025 21:35
nPr4CQDM,08/05/2025,21:30,COLOMBIA,COLOMBIA: PRIMERA A - APERTURA,Millonarios,Pereira,1.62,3.6,6.0,2.25,1.62,2.2,1.62,08/05/2025 21:30
AVH7dFi4,08/05/2025,14:00,DENMARK,DENMARK: 1ST DIVISION - RELEGATION GROUP,Hillerod,B.93,1.5,4.5,5.5,1.6,2.3,1.73,2.0,08/05/2025 14:00
z5o9Syzn,08/05/2025,14:00,DENMARK,DENMARK: LANDSPOKAL CUP - SEMI-FINALS,FC Copenhagen,Viborg,1.67,3.7,5.25,1.73,2.08,1.75,2.0,08/05/2025 14:00
fBqoIBkl,08/05/2025,10:00,DR CONGO,DR CONGO: LIGUE 1 - CHAMPIONSHIP GROUP,Mazembe,St Eloi Lupopo,,,,,,,,08/05/2025 10:00
KSoCWA4s,08/05/2025,11:00,DR CONGO,DR CONGO: LIGUE 1 - CHAMPIONSHIP GROUP,AS Vita Club,Simba,,,,,,,,08/05/2025 11:00
QaHszFjD,08/05/2025,14:00,EGYPT,EGYPT: PREMIER LEAGUE - CHAMPIONSHIP GROUP,Al Ahly,Al Masry,1.47,3.8,7.2,2.0,1.72,2.15,1.62,08/05/2025 14:00
joL6pchA,08/05/2025,18:30,EL SALVADOR,EL SALVADOR: PRIMERA DIVISION - CLAUSURA - PLAY OFFS - QUARTER-FINALS,Fuerte San Francisco,Luis Angel Firpo,4.7,3.0,1.85,2.5,1.4,2.22,1.52,08/05/2025 18:30
6ups7n26,08/05/2025,16:00,ENGLAND,ENGLAND: CHAMPIONSHIP - PLAY OFFS - SEMI-FINALS,Bristol City,Sheffield Utd,2.7,3.1,2.75,2.63,1.5,2.1,1.67,08/05/2025 16:00
QTUkgKUg,08/05/2025,07:00,ETHIOPIA,ETHIOPIA: PREMIER LEAGUE,Dire Dawa,Hawassa,3.1,2.77,2.35,,,,,08/05/2025 07:00
bsTciba6,08/05/2025,10:00,ETHIOPIA,ETHIOPIA: PREMIER LEAGUE,Sidama Bunna,Mechal,3.2,2.72,2.32,2.35,1.47,,,08/05/2025 10:00
YyR21GvK,08/05/2025,11:00,EUROPE,EUROPE: EURO U17 WOMEN,Italy U17 W,France U17 W,,,,,,,,08/05/2025 11:00
6VYGwDnD,08/05/2025,14:00,EUROPE,EUROPE: EURO U17 WOMEN,Spain U17 W,Poland U17 W,,,,,,,,08/05/2025 14:00
bixzxzL8,08/05/2025,03:00,FIJI,FIJI: PREMIER LEAGUE,Ba,Rewa,,,,,,,,08/05/2025 03:00
SCZbUlJt,08/05/2025,13:45,FINLAND,FINLAND: SUOMEN CUP - 1/32-FINALS,PoPo,KuPS Akatemia,,,,,,,,08/05/2025 13:45
xWtkcewR,08/05/2025,11:30,GABON,GABON: CHAMPIONNAT D1,Vautour,Lozo,,,,,,,,08/05/2025 11:30
pjoMI0jK,08/05/2025,13:00,GAMBIA,GAMBIA: GFA LEAGUE,Armed Forces,Banjul Utd,,,,,,,,08/05/2025 13:00
WA3ZfcbD,08/05/2025,13:00,GAMBIA,GAMBIA: GFA LEAGUE,Bombada,Marimoo,1.82,3.0,4.4,,,,,08/05/2025 13:00
pET89dD6,08/05/2025,13:00,GAMBIA,GAMBIA: GFA LEAGUE,Dutch Lions,Hawks,2.52,2.62,3.0,,,,,08/05/2025 13:00
tMWiDvEs,08/05/2025,13:00,GAMBIA,GAMBIA: GFA LEAGUE,Hart Academy,TMT,,,,,,,,08/05/2025 13:00
xlQ0BIrf,08/05/2025,13:00,GAMBIA,GAMBIA: GFA LEAGUE,Real Banjul,BST Galaxy,1.42,3.9,6.8,1.98,1.65,,,08/05/2025 13:00
0UXvvufK,08/05/2025,12:00,GEORGIA,GEORGIA: CRYSTALBET EROVNULI LIGA,Dinamo Tbilisi,Telavi,1.22,4.9,11.25,1.65,2.0,,,08/05/2025 12:00
vPnpIcX0,08/05/2025,14:00,GEORGIA,GEORGIA: CRYSTALBET EROVNULI LIGA,FC Gareji Sagarejo,Kolkheti 1913,2.35,3.1,2.8,2.07,1.6,,,08/05/2025 14:00
SWoZLR2L,08/05/2025,23:00,GUATEMALA,GUATEMALA: LIGA NACIONAL - CLAUSURA - PLAY OFFS - SEMI-FINALS,Marquense,Municipal,3.15,2.85,2.35,2.32,1.47,1.93,1.7,08/05/2025 23:00
04KklZhJ,08/05/2025,13:00,GUINEA,GUINEA: LIGUE 1,Milo FC,SOAR,,,,,,,,08/05/2025 13:00
ADATeOVG,08/05/2025,18:00,HAITI,HAITI: CHAMPIONNAT NATIONAL,Don Bosco,Violette,,,,,,,,08/05/2025 18:00
OdCLcp14,08/05/2025,18:00,HAITI,HAITI: CHAMPIONNAT NATIONAL,Tempete,Triomphe Liancourt,,,,,,,,08/05/2025 18:00
hpQkEPGD,08/05/2025,13:30,ICELAND,ICELAND: BESTA DEILD WOMEN,Tindastoll W,Breidablik W,,,,,,,,08/05/2025 13:30
bsDyxT8K,08/05/2025,15:00,ICELAND,ICELAND: BESTA DEILD WOMEN,FHL W,Thor/KA W,10.75,5.7,1.19,,,,,08/05/2025 15:00
IRg8W6Ws,08/05/2025,15:00,ICELAND,ICELAND: BESTA DEILD WOMEN,Valur W,Throttur W,1.91,3.6,3.25,1.7,1.93,,,08/05/2025 15:00
8Mwie76T,08/05/2025,13:00,IRAN,IRAN: PERSIAN GULF PRO LEAGUE,Aluminium Arak,Malavan,2.4,2.8,3.2,2.42,1.44,2.02,1.62,08/05/2025 13:00
0xC1pjhB,08/05/2025,13:00,IRAN,IRAN: PERSIAN GULF PRO LEAGUE,Esteghlal F.C.,Chadormalu,2.07,2.82,3.95,2.1,1.57,1.8,1.8,08/05/2025 13:00
6witw8po,08/05/2025,13:00,IRAN,IRAN: PERSIAN GULF PRO LEAGUE,Foolad,Esteghlal Khuzestan,1.83,2.65,6.0,2.72,1.35,2.27,1.5,08/05/2025 13:00
ngA9rUMN,08/05/2025,13:00,IRAN,IRAN: PERSIAN GULF PRO LEAGUE,Gol Gohar,Shams Azar Qazvin,1.75,3.05,5.2,2.1,1.57,1.91,1.7,08/05/2025 13:00
