Id,Date,Time,Country,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Time_Str
UyMstNLa,19/06/2025,14:00,EUROPE,EUROPE: EURO U19,Denmark U19,Romania U19,1.6,4.1,4.33,1.53,2.4,1.57,2.25,19/06/2025 14:00
v7uQh055,19/06/2025,14:00,EUROPE,EUROPE: EURO U19,Montenegro U19,Spain U19,13.0,6.25,1.18,1.4,2.88,1.91,1.8,19/06/2025 14:00
SSFTGsCM,19/06/2025,19:45,NORTH & CENTRAL AMERICA,NORTH & CENTRAL AMERICA: GOLD CUP,Trinidad & Tobago,Haiti,4.75,3.6,1.7,1.88,1.83,1.85,1.87,19/06/2025 19:45
bB6aBLZq,19/06/2025,22:15,NORTH & CENTRAL AMERICA,NORTH & CENTRAL AMERICA: GOLD CUP,Saudi Arabia,USA,6.4,4.05,1.55,2.02,1.8,2.07,1.7,19/06/2025 22:15
p0KObO8N,19/06/2025,13:00,WORLD,WORLD: FIFA CLUB WORLD CUP,Palmeiras,Al Ahly,1.6,3.7,6.0,2.05,1.8,2.0,1.75,19/06/2025 13:00
4p1eg2Wp,19/06/2025,16:00,WORLD,WORLD: FIFA CLUB WORLD CUP,Inter Miami,FC Porto,4.33,4.1,1.73,1.62,2.25,1.62,2.2,19/06/2025 16:00
697PTr8c,19/06/2025,19:00,WORLD,WORLD: FIFA CLUB WORLD CUP,Seattle Sounders,Atl. Madrid,11.0,5.0,1.3,1.67,2.15,2.05,1.7,19/06/2025 19:00
j1Px6uGj,19/06/2025,22:00,WORLD,WORLD: FIFA CLUB WORLD CUP,PSG,Botafogo RJ,1.2,6.25,13.0,1.5,2.5,2.1,1.67,19/06/2025 22:00
06NtalKD,19/06/2025,10:00,AFRICA,AFRICA: CECAFA CHAMPIONSHIP WOMEN,Kenya W,South Sudan W,,,,,,,,19/06/2025 10:00
IshR60wK,19/06/2025,13:00,AFRICA,AFRICA: CECAFA CHAMPIONSHIP WOMEN,Uganda W,Tanzania W,5.2,4.25,1.47,1.53,2.18,,,19/06/2025 13:00
