Id,Date,Time,Country,League,HomeTeam,AwayTeam,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No
YVRmQaEG,22/04/2025,19:00,ARGENTINA,ARGENTINA 1,Argentinos Jrs,Barracas Central,1.5,3.75,8.0,2.25,1.62,2.38,1.53
hYskOwqT,22/04/2025,19:00,ARGENTINA,ARGENTINA 1,Tigre,Belgrano,1.95,3.3,4.1,2.6,1.48,2.2,1.62
hC6EB0aN,22/04/2025,21:15,ARGENTINA,ARGENTINA 1,Ind. Rivadavia,Aldosivi,1.95,3.25,4.33,2.5,1.5,2.1,1.67
CKgegK5M,22/04/2025,19:30,BRAZIL,BRAZIL 2,Atletico GO,Cuiaba,1.95,3.1,4.33,2.35,1.57,2.0,1.73
CdHGbFs2,22/04/2025,20:00,BRAZIL,BRAZIL 2,Volta Redonda,Ferroviaria,2.15,3.0,3.75,2.4,1.53,2.0,1.73
