Id,Date,Time,Country,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Time_Str
xdGPqoxq,05/05/2025,16:00,ENGLAND,ENGLAND: PREMIER LEAGUE,Crystal Palace,Nottingham,2.2,3.4,3.25,2.01,1.89,1.75,2.0,05/05/2025 16:00
hvJWFBf5,05/05/2025,15:45,ITALY,ITALY 1,Genoa,AC Milan,5.0,3.8,1.7,1.84,2.06,1.75,2.0,05/05/2025 15:45
jaEpVgpI,05/05/2025,18:30,SOUTH AMERICA,SOUTH AMERICA: SOUTH AMERICAN CHAMPIONSHIP WOMEN U17,Peru U17 W,Bolivia U17 W,,,,,,,,05/05/2025 18:30
WdbqXFF5,05/05/2025,21:00,SOUTH AMERICA,SOUTH AMERICA: SOUTH AMERICAN CHAMPIONSHIP WOMEN U17,Ecuador U17 W,Uruguay U17 W,,,,,,,,05/05/2025 21:00
I7LokJiM,05/05/2025,16:00,SPAIN,SPAIN: LALIGA,Girona,Mallorca,1.95,3.3,4.2,2.2,1.67,1.91,1.91,05/05/2025 16:00
IFV4aZhf,05/05/2025,12:00,AFRICA,AFRICA: AFRICA CUP OF NATIONS U20,Central Africa U20,D.R. Congo U20,,,,,,,,05/05/2025 12:00
EsPDcDN6,05/05/2025,15:00,AFRICA,AFRICA: AFRICA CUP OF NATIONS U20,Ghana U20,Senegal U20,,,,,,,,05/05/2025 15:00
xjH6TIRG,05/05/2025,15:00,ALBANIA,ALBANIA: ABISSNET SUPERIORE - PLAY OFFS - SEMI-FINALS,Egnatia,Partizani,1.6,3.7,4.65,1.83,1.78,,,05/05/2025 15:00
02wZ7ZEs,05/05/2025,17:05,ARGENTINA,ARGENTINA: PRIMERA NACIONAL,Nueva Chicago,CA Estudiantes,2.6,2.7,3.2,3.1,1.36,2.38,1.53,05/05/2025 17:05
lbQPGUcC,05/05/2025,20:00,ARGENTINA,ARGENTINA: PRIMERA NACIONAL,Agropecuario,Central Norte,1.91,3.1,4.75,2.6,1.48,2.25,1.57,05/05/2025 20:00
GjwwQYzQ,05/05/2025,21:10,ARGENTINA,ARGENTINA: PRIMERA NACIONAL,Def. de Belgrano,CA Mitre,1.95,2.8,5.0,3.4,1.33,2.75,1.4,05/05/2025 21:10
21bij6HD,05/05/2025,16:00,ARGENTINA,ARGENTINA: TORNEO FEDERAL,Sportivo Estudiantes,Juventud U.U.,,,,,,,,05/05/2025 16:00
fyeqhSn1,05/05/2025,21:00,ARGENTINA,ARGENTINA: TORNEO FEDERAL,Biblioteca Atenas,Gutierrez Mendoza,1.52,3.55,5.9,2.22,1.52,,,05/05/2025 21:00
CCqFv5Xj,05/05/2025,20:00,ARUBA,ARUBA: DIVISION DI HONOR - RELEGATION,Caiquetio,Brazil Juniors,,,,,,,,05/05/2025 20:00
SzO6CXV7,05/05/2025,22:00,ARUBA,ARUBA: DIVISION DI HONOR - RELEGATION,Sporting,United FC,,,,,,,,05/05/2025 22:00
pMR9JBxA,05/05/2025,07:00,AUSTRALIA,AUSTRALIA: NPL VICTORIA,Melbourne Victory U21,Hume City,4.1,4.1,1.7,1.53,2.35,1.57,2.27,05/05/2025 07:00
8IRD9pfl,05/05/2025,07:30,AUSTRALIA,AUSTRALIA: VICTORIA PREMIER LEAGUE,Bulleen,Eastern Lions,1.42,4.5,5.4,1.4,2.55,1.57,2.12,05/05/2025 07:30
OpjsF6WQ,05/05/2025,07:30,AUSTRALIA,AUSTRALIA: VICTORIA PREMIER LEAGUE,Kingston City,Melbourne City U21,5.9,5.5,1.35,1.25,3.2,1.36,2.67,05/05/2025 07:30
jVWJ0Wr3,05/05/2025,16:00,BOLIVIA,BOLIVIA: DIVISION PROFESIONAL,Real Oruro,Universitario de Vinto,1.85,3.4,4.2,2.05,1.75,1.83,1.83,05/05/2025 16:00
6eU3oNG6,05/05/2025,19:00,BRAZIL,BRAZIL 1,Bragantino,Mirassol,1.83,3.4,4.75,2.03,1.87,1.8,1.95,05/05/2025 19:00
hChob00C,05/05/2025,20:00,BRAZIL,BRAZIL 1,Juventude,Atletico-MG,3.1,3.2,2.4,2.25,1.62,1.95,1.8,05/05/2025 20:00
pryhTQng,05/05/2025,19:00,BRAZIL,BRAZIL 2,Goias,Avai,2.05,3.1,4.0,2.6,1.48,2.2,1.62,05/05/2025 19:00
fkKfF6IF,05/05/2025,15:00,BRAZIL,BRAZIL: BRASILEIRO WOMEN,Real Brasilia W,Cruzeiro W,9.75,4.8,1.3,1.65,2.1,2.1,1.65,05/05/2025 15:00
f54knQFi,05/05/2025,13:00,BURKINA FASO,BURKINA FASO: PREMIER LEAGUE,AS Douanes,Salitas,,,,,,,,05/05/2025 13:00
rRzXTr0N,05/05/2025,13:00,BURKINA FASO,BURKINA FASO: PREMIER LEAGUE,ASF Dioulasso,ASFA Yennega,,,,,,,,05/05/2025 13:00
z1XOV4VA,05/05/2025,13:00,BURKINA FASO,BURKINA FASO: PREMIER LEAGUE,Kadiogo,Sonabel Ouagadougou,,,,,,,,05/05/2025 13:00
tp90VzKU,05/05/2025,13:00,BURKINA FASO,BURKINA FASO: PREMIER LEAGUE,Majestic,Sporting Cascades,,,,,,,,05/05/2025 13:00
2BH3OMNp,05/05/2025,13:00,BURKINA FASO,BURKINA FASO: PREMIER LEAGUE,Rahimo,ASEC Koudougou,,,,,,,,05/05/2025 13:00
E7Kjp4p4,05/05/2025,13:00,BURKINA FASO,BURKINA FASO: PREMIER LEAGUE,RDF,Etoile Filante,,,,,,,,05/05/2025 13:00
EoqGXQ0b,05/05/2025,13:00,BURKINA FASO,BURKINA FASO: PREMIER LEAGUE,US Comoe,Bobo-Dioulasso,,,,,,,,05/05/2025 13:00
MwR8ZnWo,05/05/2025,13:00,BURKINA FASO,BURKINA FASO: PREMIER LEAGUE,USFA,Vitesse,,,,,,,,05/05/2025 13:00
ATv0GBU0,05/05/2025,04:30,CHINA,CHINA: SUPER LEAGUE,Dalian Yingbo,Beijing Guoan,4.1,4.1,1.75,1.57,2.35,1.57,2.25,05/05/2025 04:30
rsw8EkaD,05/05/2025,08:00,CHINA,CHINA: SUPER LEAGUE,Henan Songshan Longmen,Tianjin Jinmen Tiger,2.2,3.5,3.0,1.7,2.1,1.62,2.2,05/05/2025 08:00
bkLfxgiK,05/05/2025,08:00,CHINA,CHINA: SUPER LEAGUE,Wuhan Three Towns,Shanghai Port,3.1,4.1,2.05,1.44,2.7,1.44,2.63,05/05/2025 08:00
jm0ZUAqf,05/05/2025,08:35,CHINA,CHINA: SUPER LEAGUE,Chengdu Rongcheng,Zhejiang Professional,1.29,6.0,8.0,1.4,2.88,1.75,2.0,05/05/2025 08:35
UXBQWWEs,05/05/2025,08:35,CHINA,CHINA: SUPER LEAGUE,Qingdao Hainiu,Changchun Yatai,1.85,3.75,4.0,1.83,2.03,1.75,2.0,05/05/2025 08:35
x4bsTlE6,05/05/2025,09:00,CHINA,CHINA: SUPER LEAGUE,Yunnan Yukun,Shandong Taishan,2.6,3.7,2.5,1.53,2.4,1.5,2.5,05/05/2025 09:00
K8mZrJ5b,05/05/2025,22:00,COLOMBIA,COLOMBIA: PRIMERA A - APERTURA,Chico,Envigado,2.3,2.63,3.9,2.7,1.44,2.2,1.62,05/05/2025 22:00
KKJxxSWI,05/05/2025,13:00,CYPRUS,CYPRUS: CYPRUS LEAGUE - RELEGATION GROUP,Anorthosis,Paralimni,2.87,3.55,2.18,1.75,1.85,1.65,1.98,05/05/2025 13:00
zT1PaVOP,05/05/2025,13:00,CYPRUS,CYPRUS: CYPRUS LEAGUE - RELEGATION GROUP,Karmiotissa,Omonia Aradippou,1.65,3.5,5.1,1.75,1.85,1.72,1.9,05/05/2025 13:00
