Id,Date,Time,Country,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Time_Str
QDz2XXk3,13/05/2025,13:45,NETHERLANDS,NETHERLANDS: EREDIVISIE - RELEGATION - PLAY OFFS - QUARTER-FINALS,Telstar,Den Haag,2.1,3.75,3.1,1.62,2.25,1.53,2.38,13/05/2025 13:45
fgSITkkS,13/05/2025,16:00,NETHERLANDS,NETHERLANDS: EREDIVISIE - RELEGATION - PLAY OFFS - QUARTER-FINALS,De Graafschap,Dordrecht,1.8,4.1,3.9,1.48,2.6,1.44,2.63,13/05/2025 16:00
IXUJstIN,13/05/2025,19:00,SOUTH AMERICA,SOUTH AMERICA: COPA LIBERTADORES,Dep. Tachira (Ven),Central Cordoba (Arg),3.7,3.1,2.15,2.4,1.53,2.05,1.7,13/05/2025 19:00
dOkgduXG,13/05/2025,21:30,SOUTH AMERICA,SOUTH AMERICA: COPA LIBERTADORES,Fortaleza (Bra),Bucaramanga (Col),1.5,3.9,7.5,2.2,1.65,2.38,1.53,13/05/2025 21:30
Wr1r4EC4,13/05/2025,21:30,SOUTH AMERICA,SOUTH AMERICA: COPA LIBERTADORES,Sporting Cristal (Per),Cerro Porteno (Par),2.5,3.4,2.8,1.9,1.9,1.7,2.05,13/05/2025 21:30
jk3F0u6C,13/05/2025,21:30,SOUTH AMERICA,SOUTH AMERICA: COPA LIBERTADORES,U. De Chile (Chi),Carabobo (Ven),1.3,4.75,12.0,1.93,1.88,2.5,1.5,13/05/2025 21:30
ULNHwPmn,13/05/2025,14:00,SPAIN,SPAIN: LALIGA,Valladolid,Girona,5.5,4.1,1.6,1.8,2.0,1.8,1.95,13/05/2025 14:00
E9m8JL2U,13/05/2025,15:00,SPAIN,SPAIN: LALIGA,Real Sociedad,Celta Vigo,2.35,3.3,3.0,2.06,1.84,1.8,1.95,13/05/2025 15:00
dlsRZtmB,13/05/2025,16:30,SPAIN,SPAIN: LALIGA,Sevilla,Las Palmas,1.75,3.6,4.75,2.04,1.86,1.95,1.8,13/05/2025 16:30
KSN0bOyS,13/05/2025,07:30,ASIA,ASIA: SAFF CHAMPIONSHIP U19,Bhutan U19,Maldives U19,,,,,,,,13/05/2025 07:30
SYpSEqM8,13/05/2025,11:00,ASIA,ASIA: SAFF CHAMPIONSHIP U19,Nepal U19,India U19,,,,,,,,13/05/2025 11:00
r5uWicFb,13/05/2025,07:00,AUSTRALIA,AUSTRALIA: NPL NORTHERN NSW,Edgeworth E.,Weston Bears,1.85,3.6,3.4,1.5,2.5,1.4,2.5,13/05/2025 07:00
h0pAe3QF,13/05/2025,06:30,AUSTRALIA,AUSTRALIA: NPL QUEENSLAND,Brisbane Roar U23,Gold Coast Utd,4.6,4.25,1.57,1.5,2.25,1.6,2.07,13/05/2025 06:30
Knn2cPe3,13/05/2025,06:45,AUSTRALIA,AUSTRALIA: NPL QUEENSLAND,Sunshine Coast Wanderers,Eastern Suburbs,2.7,3.75,2.2,1.4,2.52,1.37,2.62,13/05/2025 06:45
KY6TrQtA,13/05/2025,07:30,AUSTRALIA,AUSTRALIA: NPL QUEENSLAND,Queensland Lions,Brisbane City,1.4,5.0,5.6,1.29,3.0,1.45,2.37,13/05/2025 07:30
U9uvk3dM,13/05/2025,07:00,AUSTRALIA,AUSTRALIA: NORTHERN NSW STATE LEAGUE,Kahibah,South Cardiff,,,,,,,,13/05/2025 07:00
4vCaLf46,13/05/2025,06:30,AUSTRALIA,AUSTRALIA: QUEENSLAND PREMIER LEAGUE,Logan Lightning,Magic United,2.5,4.25,2.22,1.32,2.82,1.24,3.3,13/05/2025 06:30
KUAHhNEd,13/05/2025,06:30,AUSTRALIA,AUSTRALIA: QUEENSLAND PREMIER LEAGUE,Rochedale,SWQ Thunder,1.13,6.8,16.0,1.28,3.0,1.88,1.72,13/05/2025 06:30
bFM8fqpp,13/05/2025,07:00,AUSTRALIA,AUSTRALIA: QUEENSLAND PREMIER LEAGUE,Capalaba,Caboolture,2.87,4.25,1.98,1.24,3.3,1.26,3.2,13/05/2025 07:00
ny33GQ63,13/05/2025,07:30,AUSTRALIA,AUSTRALIA: QUEENSLAND PREMIER LEAGUE,Southside Eagles,Ipswich,3.85,4.4,1.65,1.25,3.25,1.28,3.05,13/05/2025 07:30
bLLz42G5,13/05/2025,06:30,AUSTRALIA,AUSTRALIA: AUSTRALIA CUP - PRELIMINARY - FINAL,Central Coast Mariners,Perth Glory,2.5,3.75,2.55,1.53,2.38,1.44,2.63,13/05/2025 06:30
MiGxT8x1,13/05/2025,11:45,BULGARIA,BULGARIA: PARVA LIGA - CHAMPIONSHIP GROUP,Cherno More,Ludogorets,3.2,3.1,2.35,2.4,1.53,2.0,1.73,13/05/2025 11:45
UkNFG7pf,13/05/2025,14:15,BULGARIA,BULGARIA: PARVA LIGA - CONFERENCE LEAGUE GROUP,CSKA Sofia,Spartak Varna,1.25,5.25,12.0,1.53,2.4,2.0,1.73,13/05/2025 14:15
dzldloB4,13/05/2025,12:00,CANADA,CANADA: CANADIAN PREMIER LEAGUE,Forge,Atl. Ottawa,3.0,3.3,2.32,1.9,1.83,1.7,2.02,13/05/2025 12:00
z38ic9Q8,13/05/2025,21:30,COLOMBIA,COLOMBIA: PRIMERA A - APERTURA,Pereira,Dep. Pasto,2.0,3.2,4.0,2.88,1.4,2.38,1.53,13/05/2025 21:30
zN6Up1Pi,13/05/2025,10:00,DR CONGO,DR CONGO: LIGUE 1 - CHAMPIONSHIP GROUP,Mazembe,Sanga Balende,,,,,,,,13/05/2025 10:00
