Id,Date,Time,Country,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Time_Str
KOJsLbH7,09/05/2025,15:30,GERMANY,GERMANY: BUNDESLIGA,Wolfsburg,Hoffenheim,2.25,3.6,3.0,1.53,2.5,1.44,2.63,09/05/2025 15:30
6PkzYqGj,09/05/2025,15:45,ITALY,ITALY 1,AC Milan,Bologna,2.5,3.4,2.8,1.99,1.91,1.75,2.0,09/05/2025 15:45
4MMUYqIF,09/05/2025,15:00,NETHERLANDS,NETHERLANDS: EREDIVISIE,Willem II,Heracles,2.5,3.5,2.7,1.85,2.0,1.67,2.1,09/05/2025 15:00
6mjfo6zG,09/05/2025,18:30,SOUTH AMERICA,SOUTH AMERICA: SOUTH AMERICAN CHAMPIONSHIP WOMEN U17,Brazil U17 W,Ecuador U17 W,,,,,,,,09/05/2025 18:30
pY1omS53,09/05/2025,18:30,SOUTH AMERICA,SOUTH AMERICA: SOUTH AMERICAN CHAMPIONSHIP WOMEN U17,Uruguay U17 W,Peru U17 W,,,,,,,,09/05/2025 18:30
IR9aPODd,09/05/2025,21:00,SOUTH AMERICA,SOUTH AMERICA: SOUTH AMERICAN CHAMPIONSHIP WOMEN U17,Chile U17 W,Argentina U17 W,,,,,,,,09/05/2025 21:00
MaGjRpqp,09/05/2025,21:00,SOUTH AMERICA,SOUTH AMERICA: SOUTH AMERICAN CHAMPIONSHIP WOMEN U17,Colombia U17 W,Paraguay U17 W,,,,,,,,09/05/2025 21:00
EXo8NCcl,09/05/2025,16:00,SPAIN,SPAIN: LALIGA,Las Palmas,Rayo Vallecano,2.38,3.25,3.1,2.1,1.73,1.8,1.95,09/05/2025 16:00
pGGHsxrm,09/05/2025,15:00,AFRICA,AFRICA: AFRICAN NATIONS CHAMPIONSHIP - QUALIFICATION - ADDITIONAL QUALIFICATION - FINAL,Algeria,Gambia,,,,,,,,09/05/2025 15:00
UBrtzJPr,09/05/2025,15:00,AFRICA,AFRICA: AFRICA CUP OF NATIONS U20,South Africa U20,Zambia U20,,,,,,,,09/05/2025 15:00
jRWlYdfe,09/05/2025,15:00,AFRICA,AFRICA: AFRICA CUP OF NATIONS U20,Tanzania U20,Egypt U20,,,,,,,,09/05/2025 15:00
