Id,Date,Time,Country,League,HomeTeam,AwayTeam,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No
ptxdGKll,28/04/2025,13:30,ITALY,ITALY 1,Udinese,Bologna,4.5,3.4,1.85,2.2,1.67,2.0,1.75
fBcHN2dE,28/04/2025,15:45,ITALY,ITALY 1,Lazio,Parma,1.45,4.5,7.0,1.73,2.1,1.91,1.91
8fyGJYwq,28/04/2025,15:45,ITALY,ITALY 1,Verona,Cagliari,2.45,2.75,3.5,2.63,1.5,2.0,1.75
SS3W5yS8,28/04/2025,15:00,ARGENTINA,ARGENTINA 1,Barracas Central,Union de Santa Fe,2.1,3.1,3.9,2.7,1.44,2.25,1.57
WYoDE5At,28/04/2025,17:15,ARGENTINA,ARGENTINA 1,Godoy Cruz,Atl. Tucuman,2.7,3.1,2.8,2.4,1.53,2.05,1.7
hEJCo7tf,28/04/2025,19:30,ARGENTINA,ARGENTINA 1,Defensa y Justicia,Racing Club,3.1,3.5,2.25,2.08,1.73,1.8,1.95
v7Nypf5k,28/04/2025,19:30,ARGENTINA,ARGENTINA 1,Estudiantes L.P.,Tigre,1.91,3.4,4.2,2.4,1.53,2.1,1.67
0vNKqoB6,28/04/2025,21:45,ARGENTINA,ARGENTINA 1,Central Cordoba,Ind. Rivadavia,2.15,3.25,3.5,2.4,1.53,2.05,1.7
l03F5SXP,28/04/2025,21:45,ARGENTINA,ARGENTINA 1,Velez Sarsfield,Gimnasia L.P.,1.95,3.2,4.33,2.7,1.44,2.25,1.57
l6QsBqXO,28/04/2025,19:30,BRAZIL,BRAZIL 2,Botafogo SP,Goias,2.9,3.1,2.5,2.7,1.44,2.2,1.62
ljtQTcl4,28/04/2025,12:00,ROMANIA,ROMANIA 1,Petrolul,Farul Constanta,2.5,3.0,2.9,2.15,1.67,1.83,1.83
UJWMszo4,28/04/2025,15:30,SPAIN,SPAIN 2,Almeria,Racing Club Ferrol,1.27,5.0,12.0,1.7,2.1,2.25,1.57
