Id,Date,Time,Country,League,HomeTeam,AwayTeam,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No
UZ6sHK5b,19/04/2025,16:00,BRAZIL,BRAZIL 1,Corinthians,Sport Recife,1.5,3.9,7.5,2.05,1.75,2.1,1.67
8KIYItyn,19/04/2025,18:30,BRAZIL,BRAZIL 1,Vasco,Flamengo RJ,7.0,3.9,1.53,2.1,1.7,2.2,1.62
OdSGVJKi,19/04/2025,21:00,BRAZIL,BRAZIL 1,Gremio,Internacional,3.1,3.0,2.45,2.2,1.65,1.95,1.8
WOQL9uj3,19/04/2025,16:00,BRAZIL,BRAZIL 2,Operario-PR,Paysandu PA,1.75,3.25,5.25,2.35,1.57,2.2,1.62
MD9eRE0N,19/04/2025,09:00,SPAIN,SPAIN 2,Racing Club Ferrol,Eldense,3.6,2.9,2.2,2.88,1.4,2.38,1.53
KWsPS6KU,19/04/2025,11:15,SPAIN,SPAIN 2,Huesca,Racing Santander,2.7,2.9,2.8,2.2,1.65,1.83,1.83
0QaXWIWo,19/04/2025,13:30,SPAIN,SPAIN 2,Levante,Zaragoza,1.67,3.6,4.75,2.03,1.83,1.91,1.8
hdOsGTzP,19/04/2025,16:00,SPAIN,SPAIN 2,Burgos CF,Cadiz CF,2.4,2.8,3.4,3.1,1.36,2.5,1.5
