Id,Date,Time,Country,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Time_Str
hKY15b14,17/06/2025,13:00,EUROPE,EUROPE: EURO U21,France U21,Poland U21,1.27,5.75,10.0,1.44,2.7,1.91,1.91,17/06/2025 13:00
pfVg7KWi,17/06/2025,13:00,EUROPE,EUROPE: EURO U21,Georgia U21,Portugal U21,8.5,5.25,1.3,1.44,2.7,1.75,2.0,17/06/2025 13:00
YF1ykwHN,17/06/2025,16:00,EUROPE,EUROPE: EURO U21,Romania U21,Slovakia U21,2.9,3.6,2.25,1.62,2.25,1.53,2.38,17/06/2025 16:00
4bh7qHvo,17/06/2025,16:00,EUROPE,EUROPE: EURO U21,Spain U21,Italy U21,1.75,3.7,4.75,1.88,1.93,1.8,1.95,17/06/2025 16:00
Qs21hiBM,17/06/2025,11:00,EUROPE,EUROPE: EURO U19,Norway U19,Netherlands U19,4.5,4.0,1.55,1.62,2.25,1.67,2.1,17/06/2025 11:00
UeIbYVJj,17/06/2025,14:00,EUROPE,EUROPE: EURO U19,Germany U19,England U19,2.4,3.25,2.55,1.95,1.85,1.73,2.0,17/06/2025 14:00
Ag6Sizwf,17/06/2025,21:15,NORTH & CENTRAL AMERICA,NORTH & CENTRAL AMERICA: GOLD CUP,Curacao,El Salvador,2.18,3.2,3.6,2.37,1.6,2.02,1.75,17/06/2025 21:15
xShLgd8s,17/06/2025,23:30,NORTH & CENTRAL AMERICA,NORTH & CENTRAL AMERICA: GOLD CUP,Canada,Honduras,1.36,5.0,8.75,1.75,2.1,2.07,1.7,17/06/2025 23:30
Wn3Va7lg,17/06/2025,13:00,WORLD,WORLD: FIFA CLUB WORLD CUP,Fluminense,Dortmund,6.0,4.5,1.48,1.67,2.15,1.8,1.95,17/06/2025 13:00
0ryPhjsQ,17/06/2025,16:00,WORLD,WORLD: FIFA CLUB WORLD CUP,River Plate,Urawa Reds,1.53,4.1,6.0,1.98,1.88,2.0,1.75,17/06/2025 16:00
h2ivboJ5,17/06/2025,19:00,WORLD,WORLD: FIFA CLUB WORLD CUP,Ulsan HD,Mamelodi Sundowns,3.0,3.2,2.38,2.2,1.62,1.91,1.91,17/06/2025 19:00
pGCemU4m,17/06/2025,22:00,WORLD,WORLD: FIFA CLUB WORLD CUP,Monterrey,Inter,6.5,5.0,1.4,1.65,2.2,1.95,1.8,17/06/2025 22:00
WQVP2WKl,17/06/2025,10:00,AFRICA,AFRICA: CECAFA CHAMPIONSHIP WOMEN,Tanzania W,Burundi W,,,,,,,,17/06/2025 10:00
ShPY0Ak1,17/06/2025,13:00,AFRICA,AFRICA: CECAFA CHAMPIONSHIP WOMEN,Kenya W,Uganda W,,,,,,,,17/06/2025 13:00
zLDfR7W3,17/06/2025,13:30,ALGERIA,ALGERIA: LIGUE 1,ASO Chlef,MC Alger,4.75,3.15,1.78,2.32,1.47,2.15,1.55,17/06/2025 13:30
n1CJPfea,17/06/2025,13:30,ALGERIA,ALGERIA: LIGUE 1,CR Belouizdad,Oran,1.24,4.9,12.5,1.93,1.7,2.82,1.32,17/06/2025 13:30
fRFRNYPB,17/06/2025,13:30,ALGERIA,ALGERIA: LIGUE 1,El Bayadh,Olympique Akbou,2.02,2.77,4.25,2.62,1.37,2.15,1.55,17/06/2025 13:30
QoOARGQn,17/06/2025,13:30,ALGERIA,ALGERIA: LIGUE 1,Magra,Constantine,1.5,3.5,7.1,2.5,1.4,2.67,1.36,17/06/2025 13:30
Egug9ZAI,17/06/2025,13:30,ALGERIA,ALGERIA: LIGUE 1,Mostaganem,Kabylie,2.72,2.85,2.7,2.25,1.5,1.88,1.72,17/06/2025 13:30
U1NuXx3P,17/06/2025,16:00,ALGERIA,ALGERIA: LIGUE 1,Saoura,Paradou,1.85,3.1,4.45,2.25,1.5,2.02,1.62,17/06/2025 16:00
pzkJhGSO,17/06/2025,06:15,AUSTRALIA,AUSTRALIA: NPL QUEENSLAND,Peninsula,Moreton City Excelsior,2.35,3.75,2.52,1.45,2.37,1.42,2.47,17/06/2025 06:15
Mef9Awjl,17/06/2025,07:30,AUSTRALIA,AUSTRALIA: QUEENSLAND PREMIER LEAGUE,Holland Park Hawks,Caboolture,3.55,4.2,1.75,1.26,3.15,1.3,2.95,17/06/2025 07:30
0xjBeNJr,17/06/2025,08:00,AUSTRALIA,AUSTRALIA: WA STATE LEAGUE,Kalamunda City,Gwelup Croatia,2.95,3.75,1.98,,,,,17/06/2025 08:00
WzsWPFyi,17/06/2025,12:30,BELARUS,BELARUS: BELARUSIAN CUP - 1/16-FINALS,Orsha,Dynamo Brest,,,,,,,,17/06/2025 12:30
8KzCrXRp,17/06/2025,19:30,BRAZIL,BRAZIL 2,Volta Redonda,Avai,2.4,3.0,3.1,2.6,1.48,2.2,1.62,17/06/2025 19:30
GUyX3uOh,17/06/2025,11:30,CAMEROON,CAMEROON: ELITE ONE,Victoria United,Union Douala,,,,,,,,17/06/2025 11:30
QTUi6Gro,17/06/2025,19:00,CHILE,CHILE: LIGA DE PRIMERA,Colo Colo,Cobresal,1.45,4.0,7.5,1.73,2.08,1.83,1.83,17/06/2025 19:00
pjV8rFe3,17/06/2025,08:35,CHINA,CHINA: SUPER LEAGUE,Beijing Guoan,Qingdao West Coast,1.36,5.25,7.0,1.44,2.7,1.7,2.05,17/06/2025 08:35
OOMmimmD,17/06/2025,17:00,CUBA,CUBA: LIGA NACIONAL - APERTURA,Artemisa,Juventud,,,,,,,,17/06/2025 17:00
