Id,Date,Time,Country,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Time_Str
tW1KuYM5,17/06/2025,12:00,ESTONIA,ESTONIA: MEISTRILIIGA,Kuressaare,Tammeka,,,,,,,,17/06/2025 12:00
WvV0uDN8,17/06/2025,09:00,ETHIOPIA,ETHIOPIA: PREMIER LEAGUE,Dire Dawa,Shire Endaselassie,,,,,,,,17/06/2025 09:00
04YJVCiL,17/06/2025,14:30,FAROE ISLANDS,FAROE ISLANDS: FAROE ISLANDS CUP - SEMI-FINALS,AB Argir,Klaksvik,16.5,7.4,1.09,,,,,17/06/2025 14:30
SEIbOUqe,17/06/2025,14:30,FAROE ISLANDS,FAROE ISLANDS: FAROE ISLANDS CUP - SEMI-FINALS,Vikingur,Toftir,,,,,,,,17/06/2025 14:30
4I6XNr87,17/06/2025,13:00,IRAQ,IRAQ: STARS LEAGUE,Duhok,Al Minaa,,,,,,,,17/06/2025 13:00
dhDbPSze,17/06/2025,12:00,LATVIA,LATVIA: VIRSLIGA,Metta,BFC Daugavpils,2.95,3.3,2.12,1.93,1.7,,,17/06/2025 12:00
hK67N657,17/06/2025,13:00,LATVIA,LATVIA: VIRSLIGA,Tukums 2000,Jelgava,2.85,3.4,2.15,1.8,1.8,,,17/06/2025 13:00
48DhoAcE,17/06/2025,14:00,LATVIA,LATVIA: VIRSLIGA,Super Nova,FK Liepaja,2.42,3.25,2.57,1.93,1.7,,,17/06/2025 14:00
bXgrsaOr,17/06/2025,12:45,NIGER,NIGER: SUPER LIGUE,ASFAN,Tahoua,,,,,,,,17/06/2025 12:45
0xSHQwv2,17/06/2025,12:45,NIGER,NIGER: SUPER LIGUE,Nigelec,Police,,,,,,,,17/06/2025 12:45
218CnL0L,17/06/2025,12:45,NIGER,NIGER: SUPER LIGUE,Olympic Niamey,Urana,,,,,,,,17/06/2025 12:45
YaJXV68c,17/06/2025,07:30,SOUTH KOREA,SOUTH KOREA: K LEAGUE 1,Daegu,Pohang,3.8,3.5,1.95,1.83,1.98,1.67,2.1,17/06/2025 07:30
KKyo83Gj,17/06/2025,07:30,SOUTH KOREA,SOUTH KOREA: K LEAGUE 1,Jeonbuk,Suwon FC,1.6,3.9,5.5,1.8,2.0,1.8,1.8,17/06/2025 07:30
EL9DQBWH,17/06/2025,07:30,SOUTH KOREA,SOUTH KOREA: K LEAGUE 1,Seoul,Gangwon,1.67,3.6,5.25,2.2,1.65,2.1,1.67,17/06/2025 07:30
UJIC6Jyi,17/06/2025,11:00,SUDAN,SUDAN: PREMIER LEAGUE - CHAMPIONSHIP GROUP,Al Wadi,Al-Hilal Omdurman,,,,,,,,17/06/2025 11:00
Wx2dEVfc,17/06/2025,11:00,SUDAN,SUDAN: PREMIER LEAGUE - CHAMPIONSHIP GROUP,Zamala Ruwaba,Alamal Atbara,,,,,,,,17/06/2025 11:00
IkzEmucm,17/06/2025,20:00,URUGUAY,URUGUAY: LIGA AUF URUGUAYA - TORNEO INTERMEDIO,Wanderers,Defensor Sp.,2.6,3.1,2.7,2.2,1.65,1.91,1.8,17/06/2025 20:00
IJ3h0x2b,17/06/2025,11:00,WORLD,WORLD: FRIENDLY INTERNATIONAL,Kyrgyzstan U20,Iran U20,,,,,,,,17/06/2025 11:00
ClD0Yfuo,17/06/2025,12:30,WORLD,WORLD: CLUB FRIENDLY,Buducnost (Mne),Vardar (Mkd),,,,,,,,17/06/2025 12:30
Eqnbe1ed,17/06/2025,12:30,WORLD,WORLD: CLUB FRIENDLY,Shkendija (Mkd),FC Arges (Rou),,,,,,,,17/06/2025 12:30
Mo7J2q3M,17/06/2025,12:30,WORLD,WORLD: CLUB FRIENDLY,Sileks (Mkd),Rabotnicki (Mkd),,,,,,,,17/06/2025 12:30
IL0aoAWG,17/06/2025,15:00,WORLD,WORLD: CLUB FRIENDLY,Mold Alexandra (Wal),Prestatyn (Wal),,,,,,,,17/06/2025 15:00
zwLUG30D,17/06/2025,15:15,WORLD,WORLD: CLUB FRIENDLY,Caerau Ely (Wal),Cardiff Corries (Wal),,,,,,,,17/06/2025 15:15
I3mmnzwn,17/06/2025,15:45,WORLD,WORLD: CLUB FRIENDLY,Larne (Nir),TNS (Wal),3.2,3.5,1.95,1.78,1.83,,,17/06/2025 15:45
