Id,Date,Time,Country,League,HomeTeam,AwayTeam,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No
x61yRGo9,27/04/2025,07:30,ITALY,ITALY 1,Como,Genoa,1.85,3.4,4.75,2.2,1.67,2.0,1.75
h6u4EbJ0,27/04/2025,07:30,ITALY,ITALY 1,Venezia,AC Milan,4.5,4.0,1.7,1.73,2.1,1.7,2.05
bLkpPfGL,27/04/2025,10:00,ITALY,ITALY 1,Fiorentina,Empoli,1.83,3.5,4.5,2.2,1.67,2.0,1.75
4MUOHC8e,27/04/2025,10:00,ITALY,ITALY 1,Inter,AS Roma,1.73,3.8,4.75,2.03,1.87,1.91,1.91
xzTWFjw8,27/04/2025,13:00,ITALY,ITALY 1,Juventus,Monza,1.2,7.5,12.0,1.53,2.5,2.38,1.53
Aa9k3Dg2,27/04/2025,15:45,ITALY,ITALY 1,Atalanta,Lecce,1.22,6.0,12.0,1.57,2.38,2.1,1.67
080PLtRQ,27/04/2025,15:45,ITALY,ITALY 1,Napoli,Torino,1.42,4.33,8.0,2.05,1.85,2.2,1.62
0EwUAN95,27/04/2025,15:30,ARGENTINA,ARGENTINA 1,River Plate,Boca Juniors,1.91,3.2,4.5,2.35,1.57,2.05,1.7
voAnbpQa,27/04/2025,19:00,ARGENTINA,ARGENTINA 1,Instituto,Sarmiento Junin,1.83,3.4,4.75,2.5,1.5,2.25,1.57
4npLCqug,27/04/2025,19:00,ARGENTINA,ARGENTINA 1,Lanus,San Martin S.J.,1.6,3.5,7.0,2.5,1.5,2.5,1.5
8Q13f2PO,27/04/2025,21:15,ARGENTINA,ARGENTINA 1,Independiente,Dep. Riestra,1.6,3.5,6.5,2.6,1.48,2.5,1.5
4UIBKgCj,27/04/2025,16:00,BRAZIL,BRAZIL 1,Flamengo RJ,Corinthians,1.44,4.0,8.0,2.06,1.84,2.1,1.67
Gl4oXWed,27/04/2025,18:30,BRAZIL,BRAZIL 1,Cruzeiro,Vasco,1.95,3.5,4.0,2.15,1.67,1.95,1.8
GQLbtyZ9,27/04/2025,18:30,BRAZIL,BRAZIL 1,Palmeiras,Bahia,1.6,4.1,5.5,2.01,1.89,2.0,1.75
2sptgEIF,27/04/2025,18:30,BRAZIL,BRAZIL 1,Vitoria,Gremio,2.38,3.4,3.0,2.3,1.6,2.0,1.75
OjP6vF3M,27/04/2025,20:30,BRAZIL,BRAZIL 1,Santos,Bragantino,1.95,3.1,4.5,2.35,1.57,2.05,1.7
C6lUYDWq,27/04/2025,10:00,ITALY,ITALY 2,Catanzaro,Palermo,2.63,3.3,2.63,1.93,1.93,1.7,2.05
fk6KqVp2,27/04/2025,10:00,ITALY,ITALY 2,Sudtirol,Juve Stabia,2.45,3.0,3.1,2.5,1.5,2.05,1.7
G4d69T2k,27/04/2025,08:30,ROMANIA,ROMANIA 1,Gloria Buzau,FC Botosani,4.2,3.4,1.75,2.05,1.75,1.83,1.83
GfgbsRjL,27/04/2025,11:15,SPAIN,SPAIN 2,Racing Santander,Dep. La Coruna,1.83,3.6,4.0,1.65,2.2,1.62,2.2
SYC3LqU1,27/04/2025,13:30,SPAIN,SPAIN 2,Malaga,Castellon,2.88,3.1,2.5,2.0,1.85,1.73,2.0
YBZUy5Er,27/04/2025,13:30,SPAIN,SPAIN 2,Tenerife,Eibar,2.3,3.0,3.4,2.6,1.44,2.25,1.57
2iRoYMD7,27/04/2025,16:00,SPAIN,SPAIN 2,Zaragoza,Huesca,1.75,3.3,4.75,2.25,1.58,2.1,1.67
