Id,Date,Time,Country,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Time_Str
C6Gxr43t,14/06/2025,13:00,EUROPE,EUROPE: EURO U21,Spain U21,Romania U21,1.36,4.75,8.5,1.5,2.5,1.8,1.95,14/06/2025 13:00
nqB1x0XH,14/06/2025,16:00,EUROPE,EUROPE: EURO U21,France U21,Georgia U21,1.29,5.25,10.0,1.5,2.5,1.91,1.91,14/06/2025 16:00
tn8gvM25,14/06/2025,16:00,EUROPE,EUROPE: EURO U21,Portugal U21,Poland U21,1.42,4.5,7.5,1.57,2.35,1.75,2.0,14/06/2025 16:00
pKEptrYh,14/06/2025,16:00,EUROPE,EUROPE: EURO U21,Slovakia U21,Italy U21,4.33,4.0,1.7,1.62,2.25,1.62,2.2,14/06/2025 16:00
IHbgfDtA,14/06/2025,11:00,EUROPE,EUROPE: EURO U19,England U19,Norway U19,1.65,3.9,3.9,1.85,1.95,1.83,1.83,14/06/2025 11:00
d2ApdZBc,14/06/2025,14:00,EUROPE,EUROPE: EURO U19,Germany U19,Netherlands U19,2.4,3.5,2.4,1.95,1.85,1.73,2.0,14/06/2025 14:00
hfHlaIpK,14/06/2025,23:15,NORTH & CENTRAL AMERICA,NORTH & CENTRAL AMERICA: GOLD CUP,Mexico,Dominican Republic,1.14,7.6,25.0,1.55,2.47,2.7,1.42,14/06/2025 23:15
bqMG0pvB,14/06/2025,21:00,WORLD,WORLD: FIFA CLUB WORLD CUP,Al Ahly,Inter Miami,3.4,3.8,1.95,1.7,2.1,1.62,2.2,14/06/2025 21:00
rRb8TZN0,14/06/2025,13:40,ARGENTINA,ARGENTINA: PRIMERA NACIONAL,Def. de Belgrano,Gimnasia Jujuy,2.6,2.6,3.4,4.0,1.25,2.75,1.4,14/06/2025 13:40
z1e0Vegl,14/06/2025,15:00,ARGENTINA,ARGENTINA: PRIMERA NACIONAL,Chacarita Juniors,Agropecuario,2.0,3.25,3.9,2.6,1.48,2.25,1.57,14/06/2025 15:00
