Id,Date,Time,Country,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Time_Str
KKqaTPi2,04/05/2025,10:00,ENGLAND,ENGLAND: PREMIER LEAGUE,Brentford,Manchester Utd,1.75,4.0,4.2,1.62,2.3,1.62,2.2,04/05/2025 10:00
nRyoiTq9,04/05/2025,10:00,ENGLAND,ENGLAND: PREMIER LEAGUE,Brighton,Newcastle,2.8,3.7,2.3,1.57,2.38,1.44,2.63,04/05/2025 10:00
82abV6vm,04/05/2025,10:00,ENGLAND,ENGLAND: PREMIER LEAGUE,West Ham,Tottenham,1.95,3.8,3.7,1.57,2.38,1.5,2.5,04/05/2025 10:00
tQUgk7EL,04/05/2025,12:30,ENGLAND,ENGLAND: PREMIER LEAGUE,Chelsea,Liverpool,2.15,3.7,3.1,1.53,2.5,1.5,2.5,04/05/2025 12:30
xIPAUg0e,04/05/2025,10:00,FRANCE,FRANCE: LIGUE 1,Nantes,Angers,1.91,3.4,4.33,2.3,1.62,2.0,1.75,04/05/2025 10:00
Y39DlFiR,04/05/2025,12:15,FRANCE,FRANCE: LIGUE 1,Auxerre,Le Havre,2.15,3.5,3.2,1.8,2.0,1.67,2.1,04/05/2025 12:15
0xWWyx8L,04/05/2025,12:15,FRANCE,FRANCE: LIGUE 1,Brest,Montpellier,1.36,5.25,7.5,1.57,2.38,1.8,1.95,04/05/2025 12:15
GldTHGGk,04/05/2025,12:15,FRANCE,FRANCE: LIGUE 1,Lyon,Lens,1.53,4.75,5.25,1.44,2.75,1.57,2.25,04/05/2025 12:15
CGkxGfo2,04/05/2025,15:45,FRANCE,FRANCE: LIGUE 1,Lille,Marseille,2.3,3.3,3.1,1.73,2.1,1.62,2.2,04/05/2025 15:45
MijH8URp,04/05/2025,10:30,GERMANY,GERMANY: BUNDESLIGA,Augsburg,Holstein Kiel,1.83,3.75,4.1,1.73,2.1,1.67,2.1,04/05/2025 10:30
QL4oEj4N,04/05/2025,12:30,GERMANY,GERMANY: BUNDESLIGA,Freiburg,Bayer Leverkusen,3.2,3.4,2.25,1.73,2.1,1.62,2.2,04/05/2025 12:30
x0Y3WXJi,04/05/2025,14:30,GERMANY,GERMANY: BUNDESLIGA,Mainz,Eintracht Frankfurt,2.2,3.6,3.1,1.57,2.38,1.44,2.63,04/05/2025 14:30
pEFOHXPh,04/05/2025,07:30,ITALY,ITALY 1,Empoli,Lazio,4.2,3.6,1.85,1.92,1.98,1.8,1.95,04/05/2025 07:30
bHubWWvn,04/05/2025,10:00,ITALY,ITALY 1,Monza,Atalanta,13.0,6.25,1.22,1.5,2.63,1.95,1.8,04/05/2025 10:00
SdXESlvB,04/05/2025,13:00,ITALY,ITALY 1,AS Roma,Fiorentina,1.67,3.7,5.25,2.03,1.87,1.95,1.8,04/05/2025 13:00
lYYCCxlD,04/05/2025,15:45,ITALY,ITALY 1,Bologna,Juventus,2.2,3.0,3.8,2.38,1.57,2.0,1.75,04/05/2025 15:45
80MImnSp,04/05/2025,07:15,NETHERLANDS,NETHERLANDS: EREDIVISIE,NAC Breda,Zwolle,2.2,3.6,3.1,1.8,2.0,1.67,2.1,04/05/2025 07:15
UoqWdj5b,04/05/2025,09:30,NETHERLANDS,NETHERLANDS: EREDIVISIE,G.A. Eagles,AZ Alkmaar,3.0,3.6,2.2,1.6,2.3,1.53,2.38,04/05/2025 09:30
hldM77JG,04/05/2025,09:30,NETHERLANDS,NETHERLANDS: EREDIVISIE,Sparta Rotterdam,Twente,2.2,3.5,3.0,1.67,2.15,1.62,2.2,04/05/2025 09:30
2H6SzbGt,04/05/2025,18:30,SOUTH AMERICA,SOUTH AMERICA: SOUTH AMERICAN CHAMPIONSHIP WOMEN U17,Paraguay U17 W,Chile U17 W,,,,,,,,04/05/2025 18:30
bq0yZyog,04/05/2025,21:00,SOUTH AMERICA,SOUTH AMERICA: SOUTH AMERICAN CHAMPIONSHIP WOMEN U17,Argentina U17 W,Venezuela U17 W,,,,,,,,04/05/2025 21:00
4OqT1dyS,04/05/2025,09:00,SPAIN,SPAIN: LALIGA,Real Madrid,Celta Vigo,1.33,5.75,7.5,1.36,3.2,1.57,2.25,04/05/2025 09:00
MFrnIHL8,04/05/2025,11:15,SPAIN,SPAIN: LALIGA,Sevilla,Leganes,1.62,3.75,5.75,2.38,1.57,2.25,1.57,04/05/2025 11:15
67MTDRbl,04/05/2025,13:30,SPAIN,SPAIN: LALIGA,Espanyol,Betis,3.5,3.1,2.25,2.1,1.73,1.8,1.95,04/05/2025 13:30
zqhC5vx3,04/05/2025,16:00,SPAIN,SPAIN: LALIGA,Real Sociedad,Ath Bilbao,2.38,3.0,3.3,2.63,1.5,2.1,1.67,04/05/2025 16:00
ppGihIoR,04/05/2025,12:00,AFRICA,AFRICA: AFRICA CUP OF NATIONS U20,Tunisia U20,Kenya U20,1.9,3.5,3.75,2.05,1.72,1.87,1.87,04/05/2025 12:00
4UdOnd9l,04/05/2025,15:00,AFRICA,AFRICA: AFRICA CUP OF NATIONS U20,Morocco U20,Nigeria U20,2.65,3.1,2.65,2.2,1.62,1.9,1.83,04/05/2025 15:00
pGKERddT,04/05/2025,15:00,ALBANIA,ALBANIA: ABISSNET SUPERIORE - PLAY OFFS - SEMI-FINALS,Vllaznia,Dinamo Tirana,2.02,3.1,3.55,2.34,1.53,2.06,1.68,04/05/2025 15:00
IsfEssPk,04/05/2025,13:00,ALBANIA,ALBANIA: ABISSNET SUPERIORE - RELEGATION - FINAL,KF Tirana,Pogradeci,1.4,3.85,7.1,1.9,1.72,2.14,1.63,04/05/2025 13:00
fTMVvG0U,04/05/2025,06:00,ANDORRA,ANDORRA: PRIMERA DIVISIÓ,Ordino,Inter Escaldes,18.5,6.7,1.1,,,,,04/05/2025 06:00
06qceyoB,04/05/2025,08:30,ANDORRA,ANDORRA: PRIMERA DIVISIÓ,FC Santa Coloma,Atletic Escaldes,2.62,3.15,2.45,1.75,1.85,1.63,2.14,04/05/2025 08:30
8Wn5gFFN,04/05/2025,11:00,ANDORRA,ANDORRA: PRIMERA DIVISIÓ,FC Rangers,UE Santa Coloma,2.87,3.3,2.18,1.78,1.82,1.73,2.0,04/05/2025 11:00
4vjlccGb,04/05/2025,13:30,ANDORRA,ANDORRA: PRIMERA DIVISIÓ,Esperanca,La Massana,1.7,3.9,3.8,1.57,2.12,,,04/05/2025 13:30
