Id,Date,Time,Country,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Time_Str
EXsiq8p2,18/06/2025,13:00,EUROPE,EUROPE: EURO U21,Denmark U21,Finland U21,1.85,3.9,3.6,1.6,2.3,1.57,2.25,18/06/2025 13:00
tvzw7Bx9,18/06/2025,13:00,EUROPE,EUROPE: EURO U21,Netherlands U21,Ukraine U21,1.48,5.0,5.5,1.44,2.7,1.57,2.25,18/06/2025 13:00
I5lroUFk,18/06/2025,16:00,EUROPE,EUROPE: EURO U21,England U21,Germany U21,2.5,3.4,2.7,1.83,1.98,1.67,2.1,18/06/2025 16:00
nJRA3xWG,18/06/2025,16:00,EUROPE,EUROPE: EURO U21,Slovenia U21,Czech Republic U21,2.75,3.4,2.5,1.7,2.1,1.57,2.25,18/06/2025 16:00
ULVgwyO0,18/06/2025,20:00,NORTH & CENTRAL AMERICA,NORTH & CENTRAL AMERICA: GOLD CUP,Costa Rica,Dominican Republic,1.47,4.1,6.9,1.72,2.05,1.85,1.87,18/06/2025 20:00
d8Xoucgl,18/06/2025,23:00,NORTH & CENTRAL AMERICA,NORTH & CENTRAL AMERICA: GOLD CUP,Suriname,Mexico,12.5,5.4,1.27,1.5,2.6,1.9,1.85,18/06/2025 23:00
lndNcxPM,18/06/2025,13:00,WORLD,WORLD: FIFA CLUB WORLD CUP,Manchester City,Wydad,1.04,17.0,34.0,1.29,3.6,3.5,1.29,18/06/2025 13:00
MHcYl2ck,18/06/2025,16:00,WORLD,WORLD: FIFA CLUB WORLD CUP,Real Madrid,Al Hilal,1.27,5.75,10.0,1.44,2.7,1.8,1.95,18/06/2025 16:00
rXosmtS1,18/06/2025,19:00,WORLD,WORLD: FIFA CLUB WORLD CUP,Pachuca,Salzburg,2.75,3.4,2.5,2.0,1.85,1.7,2.05,18/06/2025 19:00
YJXghGnp,18/06/2025,22:00,WORLD,WORLD: FIFA CLUB WORLD CUP,Al Ain,Juventus,13.0,6.5,1.2,1.5,2.5,2.1,1.67,18/06/2025 22:00
