Id,Date,Time,Country,League,HomeTeam,AwayTeam,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No
d6GTsPuJ,26/04/2025,15:00,ARGENTINA,ARGENTINA 1,Aldosivi,Banfield,2.55,3.0,3.0,2.88,1.4,2.2,1.62
00bedOfC,26/04/2025,17:00,ARGENTINA,ARGENTINA 1,San Lorenzo,Rosario Central,2.3,2.88,3.7,3.4,1.33,2.5,1.5
CKLqrYZ1,26/04/2025,19:00,ARGENTINA,ARGENTINA 1,Belgrano,Argentinos Jrs,3.4,3.1,2.3,2.6,1.48,2.1,1.67
UToYfzl3,26/04/2025,16:00,BRAZIL,BRAZIL 1,Internacional,Juventude,1.44,4.1,8.5,1.89,2.01,2.0,1.75
b9wkihmS,26/04/2025,18:30,BRAZIL,BRAZIL 1,Ceara,Sao Paulo,2.35,2.9,3.4,2.6,1.48,2.1,1.67
8O0wZhRq,26/04/2025,18:30,BRAZIL,BRAZIL 1,Mirassol,Atletico-MG,2.8,3.4,2.45,2.25,1.62,1.95,1.8
UiUKoWAk,26/04/2025,20:00,BRAZIL,BRAZIL 1,Sport Recife,Fortaleza,2.38,3.3,3.0,2.3,1.6,2.0,1.75
dO5crc4c,26/04/2025,21:00,BRAZIL,BRAZIL 1,Botafogo RJ,Fluminense,2.3,3.0,3.5,2.35,1.57,2.0,1.75
tQxIVJJi,26/04/2025,11:00,ROMANIA,ROMANIA 1,FC Hermannstadt,UTA Arad,1.83,3.2,4.5,2.25,1.62,2.0,1.73
YiwEqdGi,26/04/2025,09:00,SPAIN,SPAIN 2,Albacete,FC Cartagena SAD,1.38,5.0,7.0,1.57,2.35,1.83,1.83
8UkjqmM8,26/04/2025,11:15,SPAIN,SPAIN 2,Eldense,Cordoba,2.38,3.25,2.9,2.0,1.85,1.73,2.0
UcJXeQ5E,26/04/2025,11:15,SPAIN,SPAIN 2,R. Oviedo,Levante,2.15,3.25,3.5,2.15,1.67,1.83,1.83
6PXxzqqe,26/04/2025,13:30,SPAIN,SPAIN 2,Granada CF,Elche,2.3,3.0,3.3,2.3,1.6,1.91,1.8
K89eN5ak,26/04/2025,13:30,SPAIN,SPAIN 2,Mirandes,Burgos CF,2.1,2.8,4.33,2.88,1.4,2.38,1.53
