Id,Date,Time,Country,League,HomeTeam,AwayTeam,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No
6y8OxwbM,20/04/2025,15:30,ARGENTINA,ARGENTINA 1,Dep. Riestra,San Lorenzo,3.0,2.75,2.8,3.5,1.3,2.5,1.5
4CB7tLbc,20/04/2025,16:30,ARGENTINA,ARGENTINA 1,San Martin S.J.,Godoy Cruz,2.35,2.9,3.6,3.1,1.36,2.5,1.5
bZn3Vfjd,20/04/2025,18:00,ARGENTINA,ARGENTINA 1,Sarmiento Junin,Platense,3.5,2.75,2.45,3.5,1.3,2.63,1.44
27gfXGLq,20/04/2025,20:30,ARGENTINA,ARGENTINA 1,Rosario Central,Instituto,1.95,3.1,4.5,2.88,1.4,2.5,1.5
ppxuQFlT,20/04/2025,11:00,BRAZIL,BRAZIL 1,Juventude,Mirassol,2.2,3.0,3.75,2.25,1.62,1.95,1.8
8lpU7GSp,20/04/2025,16:00,BRAZIL,BRAZIL 1,Atletico-MG,Botafogo RJ,2.15,3.4,3.3,2.25,1.62,2.05,1.7
Gj5kFbzB,20/04/2025,16:00,BRAZIL,BRAZIL 1,Sao Paulo,Santos,2.0,3.2,4.1,2.6,1.48,2.25,1.57
ru2NBPTI,20/04/2025,18:30,BRAZIL,BRAZIL 1,Fluminense,Vitoria,1.57,3.6,6.5,2.15,1.67,2.1,1.67
xKYWRyKG,20/04/2025,18:30,BRAZIL,BRAZIL 1,Fortaleza,Palmeiras,3.5,3.1,2.25,2.5,1.5,2.1,1.67
CIbbDx5N,20/04/2025,20:30,BRAZIL,BRAZIL 1,Bragantino,Cruzeiro,2.15,3.2,3.6,2.15,1.67,1.91,1.91
hIwfetyA,20/04/2025,16:00,BRAZIL,BRAZIL 2,Vila Nova FC,Botafogo SP,1.9,3.1,4.5,2.6,1.48,2.2,1.62
4IYZoxbd,20/04/2025,18:00,BRAZIL,BRAZIL 2,Chapecoense-SC,Athletic Club,1.95,3.25,4.0,2.2,1.65,2.0,1.73
K4unc26c,20/04/2025,19:00,BRAZIL,BRAZIL 2,Athletico-PR,CRB,1.53,3.8,6.5,2.25,1.62,2.25,1.57
pnXy6ckS,20/04/2025,20:00,BRAZIL,BRAZIL 2,America MG,Goias,2.0,3.1,4.2,2.25,1.62,1.91,1.8
p4f0Dx4N,20/04/2025,11:00,ROMANIA,ROMANIA 1,Poli Iasi,FC Botosani,3.1,3.0,2.35,2.3,1.6,1.91,1.8
88bizXLt,20/04/2025,09:00,SPAIN,SPAIN 2,FC Cartagena SAD,Granada CF,7.5,4.33,1.42,2.08,1.73,2.38,1.53
4zh0YAjg,20/04/2025,11:15,SPAIN,SPAIN 2,Cordoba,R. Oviedo,2.25,3.1,3.3,2.25,1.62,1.91,1.8
YwbuVd1b,20/04/2025,13:30,SPAIN,SPAIN 2,Elche,Albacete,1.57,3.8,5.75,2.0,1.85,2.0,1.73
C0e8WlL5,20/04/2025,16:00,SPAIN,SPAIN 2,Dep. La Coruna,Tenerife,1.85,3.2,4.5,2.15,1.67,2.0,1.73
